feature,importance
segment_avg_fee,781548519244.0
state_avg_fee,105162536845.20312
propertytype_avg_fee,46418454257.0
TargetTime,37269997253.0
rolling_avg_fee_segment,27361243257.0
client_avg_fee,23069530190.0
rolling_avg_fee_proptype,18243712018.0
segment_std_fee,17676925899.0
segment_win_rate,16729917412.0
office_avg_fee,9008393926.0
distance_x_volume,8729401586.0
PropertyState_frequency,8440831939.0
client_std_fee,8400147999.0
BusinessSegment_encoded,7290046463.0
propertytype_std_fee,4864261633.0
RooftopLongitude,4302173637.0
DistanceInKM,4203493010.0
OfficeId,3761380243.0
RooftopLatitude,3548469499.0
TargetTime_Original,3189590367.0
office_std_fee,3008750791.0
rolling_avg_fee_office,2956546943.0
state_std_fee,2459718198.0
BusinessSegment_frequency,2396446692.0
Bid_Property_Type_encoded,1878551624.0
targettime_ratio_to_proptype,1660232530.0
rolling_bid_count_office,1629946980.0
avg_historical_fee_client,1608342176.0
state_win_rate,1420118081.0
PropertyState_encoded,1385992251.0
propertytype_win_rate,1187318318.0
targettime_x_size,1100421805.0
rolling_win_rate_office,928231398.0
Bid_Property_Type_frequency,597566495.0
PropertyCity_encoded,535314189.0
prev_fee_same_client,523051055.0
DistanceInMiles,499090385.0
total_bids_to_client,469372855.0
BidCompanyType_frequency,456756537.0
building_size_numeric,419118090.0
BidCompanyType_encoded,399092467.0
rolling_std_fee_office,296430649.69921875
Bid_SubProperty_Type_encoded,284705755.8984375
BidCompanyName_encoded,265539881.0
DayOfMonth,256635338.30078125
days_since_start,225827572.0
win_rate_with_client,221086728.0
total_wins_with_client,219323810.0
NumberofEmployees,198467586.0
office_win_rate,185000191.0
client_win_rate,183707498.0
WeekOfYear,182973104.0
MedianAge,181905428.0
OfficeLocation_frequency,177152487.0
days_since_last_bid_client,172868962.0
rolling_avg_fee_state,166628721.0
DeliveryTotal,164645240.0
NumberofBusinesses,164341769.0
market_competitiveness,164318979.0
LeaseCount,132009211.0
AverageHouseValue,112253746.0
IncomePerHousehold,110984302.0
JobCount,106095462.0
DayOfWeek,90456866.0
DayOfWeek_sin,62287201.0
Month_cos,37786134.0
OfficeLocation_encoded,34366406.0
Quarter,12435954.0
