name,reg_alpha,reg_lambda,num_leaves,max_depth,min_child_samples,best_iter,train_rmse,valid_rmse,test_rmse,overfit_ratio,valid_overfit,neg_predictions,balance_score
Original (weak),0.1,0.1,31,-1,20,499,92.6969482328393,345.39924828388087,384.48265951459183,4.147738052269373,3.7261124003380934,116,1594.7333573064018
Mild reg,0.5,0.5,31,-1,20,499,94.25042141332541,340.15783456516687,386.8952271540165,4.104970793258608,3.609085555951417,106,1588.1936075183924
Mild + depth=8,0.5,0.5,31,8,20,490,100.8269388150688,347.4543523459662,391.23277668407013,3.880240551601469,3.4460468246809293,95,1518.0772852051707
Moderate reg,1.0,1.0,31,-1,20,500,94.63218621860213,342.30468721923665,393.2069125939981,4.155107562301083,3.617212080766119,100,1633.8170160683824
Mild + leaves=20,0.5,0.5,20,-1,20,500,121.95974445904791,364.56992351541095,409.067453526995,3.354118650718829,2.989264409600559,94,1372.0607752769517
Asymmetric L1>L2,2.0,1.0,25,8,30,500,124.18130949601012,367.5849187626503,415.5974330052628,3.3466987479191928,2.960066375966672,99,1390.8794086771436
Mild + depth=6,0.5,0.5,31,6,20,500,116.88562653893953,378.1844467217657,418.4774464569575,3.5802301689981104,3.235508572953378,57,1498.2455788504908
Asymmetric L1<L2,1.0,2.0,25,8,30,498,125.82493091201401,371.50450714228515,419.0483795898967,3.330408183438034,2.9525508533922284,83,1395.6021526426396
Balanced 1,1.0,1.0,25,8,30,498,124.11686947089721,375.2820433889632,422.78827869439885,3.406372401243441,3.0236183444584777,93,1440.1743241138206
Mild + leaves=15,0.5,0.5,15,-1,20,500,146.9427854564992,382.37867830044473,429.08843597617295,2.9201054998593303,2.6022283238508757,31,1252.9835018200608
Strong + depth=8,3.0,3.0,20,8,40,495,148.5226231437081,398.234386848475,449.0709139969625,3.0235859325110943,2.681304561010546,91,1357.8044982611152
Balanced 2,1.0,1.0,20,6,30,500,149.29509912375204,409.7644411940962,454.1495457665513,3.0419588347645803,2.74466103441506,58,1381.5042230488818
Balanced 3,1.5,1.5,20,6,30,500,148.41741332600373,409.4763005838123,456.7568476035161,3.07751521447308,2.758950526137955,42,1405.676147814583
Strong 1,2.0,2.0,20,6,40,495,159.8118017000236,421.5184798108899,461.7155802821887,2.8891206742594435,2.637592939488321,81,1333.9520286209672
Strong 2,2.0,2.0,15,6,50,500,183.8060498062796,445.8304198936367,496.87577841358393,2.703261285127779,2.4255481272978496,28,1343.1850553031704
Aggressive (current),5.0,5.0,15,6,50,500,187.04920213816598,454.9783696094629,506.2549342653537,2.7065335135265793,2.4323994136761304,27,1370.1959459773752
