feature,importance,importance_pct
subtype_frequency,477173.29352378845,21.10952496103958
office_region_avg_fee,283233.6276885271,12.5298867615664
company_location_frequency,180516.54664969444,7.9858168910545295
propertytype_frequency,165189.84138798714,7.307783414152961
bid_vs_state_ratio,165083.4331188202,7.303076050927637
RooftopLongitude,143387.82601213455,6.343290652249083
office_region_frequency,134431.12356066704,5.947057802393599
subtype_avg_fee,64572.85462605953,2.8566189789630996
RooftopLatitude,58803.130241155624,2.6013738875582177
propertytype_avg_fee,49249.0089455843,2.1787120062104757
segment_std_fee,39845.21382319927,1.7627003589563892
office_avg_fee,39506.31116747856,1.747707746906649
state_frequency,37190.8729865551,1.645275777768143
segment_avg_fee,36899.76706248522,1.6323976308687644
client_avg_fee,36472.29268208146,1.6134867210885881
state_avg_fee,32880.47358226776,1.4545893226547084
cumulative_bids_client,29209.454997897148,1.2921882421857145
segment_x_state_fee,27246.161189734936,1.2053346814107575
bid_vs_client_ratio,24809.027655005455,1.0975190683347635
DistanceInMiles,22547.053886383772,0.9974522951561515
rolling_avg_fee_state,20023.374282181263,0.8858079966976847
TargetTime,19955.425571918488,0.882802034262591
client_std_fee,19146.306990027428,0.8470076821211739
days_since_last_bid_client,18164.02260529995,0.8035527004202535
IncomePerHousehold,11322.874143004417,0.5009092034203408
NumberofEmployees,10897.890830874443,0.4821084952558432
MedianAge,10892.60385131836,0.4818746061668636
BidFee,9142.967955946922,0.40447299315259105
AverageHouseValue,9139.965488433838,0.40434016790069116
NumberofBusinesses,8674.47419154644,0.3837474392544026
ZipPopulation,8086.088455557823,0.35771802069904046
fee_diff_from_segment,8070.567228674889,0.3570313818389909
DeliveryTotal,7949.171714425087,0.3516610024129121
lag1_bidfee_client,7427.693350672722,0.32859147885475043
fee_percentile_segment,7266.783645033836,0.32147304307102553
PopulationEstimate,6811.114100933075,0.30131481597464466
fee_vs_segment_ratio,6266.957250624895,0.27724202571122947
rolling_avg_fee_segment,5318.000926494598,0.23526143399949695
rolling_std_fee_segment,4609.965031027794,0.20393884823973166
targettime_log,4048.2012033462524,0.17908714823137514
distance_log,3994.4274595975876,0.17670826785119229
state_count,3981.416205883026,0.17613266693473345
segment_frequency,732.8041200637817,0.03241829975396111
days_since_last_segment,293.9733102321625,0.013004996328269777
