feature,importance,importance_pct
segment_avg_fee,0.16238047,16.238045
segment_std_fee,0.14371383,14.371382
propertytype_std_fee,0.08128425,8.128424
state_avg_fee,0.05422445,5.4224443
TargetTime,0.048460368,4.846036
Bid_Property_Type_encoded,0.040092207,4.0092206
client_avg_fee,0.033852406,3.3852403
segment_win_rate,0.032392394,3.239239
propertytype_avg_fee,0.028093118,2.8093114
rolling_avg_fee_segment,0.027158821,2.7158818
BusinessSegment_frequency,0.022019295,2.2019293
OfficeId,0.018015217,1.8015215
BusinessSegment_encoded,0.017571894,1.7571893
RooftopLatitude,0.016516244,1.6516242
rolling_avg_fee_proptype,0.016153881,1.6153879
client_std_fee,0.015110279,1.5110278
office_avg_fee,0.015034089,1.5034087
office_std_fee,0.012988383,1.2988381
DistanceInKM,0.012301351,1.230135
state_win_rate,0.011994794,1.1994792
state_std_fee,0.0110784955,1.1078495
TargetTime_Original,0.010581103,1.0581102
PropertyState_frequency,0.009670022,0.9670021
PropertyState_encoded,0.009527919,0.9527918
RooftopLongitude,0.009480101,0.94801
distance_x_volume,0.008340179,0.8340178
JobCount,0.006583693,0.6583692
targettime_ratio_to_proptype,0.0050323238,0.50323236
office_win_rate,0.0047884914,0.47884908
rolling_avg_fee_office,0.0042856075,0.4285607
market_competitiveness,0.004230781,0.42307806
Bid_Property_Type_frequency,0.0041973777,0.41973773
building_size_numeric,0.003959853,0.39598528
propertytype_win_rate,0.003799095,0.37990946
OfficeLocation_encoded,0.0037853539,0.37853533
MarketOrientation_frequency,0.0035026255,0.3502625
win_rate_with_client,0.003424003,0.34240025
rolling_win_rate_office,0.0033733607,0.33733603
DistanceInMiles,0.0032394582,0.32394576
Year,0.003205942,0.32059416
OfficeLocation_frequency,0.0028329096,0.28329092
LeaseCount,0.002801181,0.28011808
PopulationEstimate,0.0027898725,0.27898723
client_relationship_strength,0.0027796007,0.27796003
targettime_x_size,0.0027524598,0.27524596
SaleCount,0.0026634317,0.26634315
NumberofBusinesses,0.002633386,0.2633386
total_wins_with_client,0.0026174542,0.2617454
DeliveryTotal,0.0025855312,0.2585531
rolling_bid_count_office,0.0025632796,0.25632793
AverageHouseValue,0.0024725543,0.24725541
PropertyCity_encoded,0.0024215265,0.24215263
prev_won_same_client,0.0022727565,0.22727562
BidCompanyType_encoded,0.0021408643,0.2140864
rolling_avg_fee_state,0.0019883038,0.19883037
prev_fee_same_client,0.0019871318,0.19871315
avg_historical_fee_client,0.0019798337,0.19798335
same_proptype_as_last_client,0.0019780633,0.1978063
Bid_SubProperty_Type_encoded,0.0019373279,0.19373277
BidCompanyName_encoded,0.001932515,0.19325148
MedianAge,0.001930472,0.19304718
total_bids_to_client,0.0018895224,0.18895222
rolling_std_fee_office,0.001768475,0.17684749
Month_cos,0.0016415019,0.16415016
NumberofEmployees,0.0016351595,0.16351593
BidCompanyType_frequency,0.001562044,0.15620437
days_since_start,0.0014705572,0.1470557
ZipPopulation,0.0013655652,0.1365565
Month_sin,0.0012806099,0.12806098
DayOfMonth,0.0012297229,0.12297227
DayOfWeek_sin,0.0012078075,0.120780736
WeekOfYear,0.0011575507,0.11575506
days_since_last_bid_client,0.0011299506,0.11299505
Quarter,0.0011074352,0.11074351
client_win_rate,0.0010762088,0.107620865
DayOfWeek_cos,0.0007905931,0.079059295
IncomePerHousehold,0.0007815774,0.07815772
Month,0.00077188056,0.077188045
is_peak_season,0.000760431,0.076043084
quarterly_avg_fee,0.00070887397,0.070887394
IECount,0.00061465974,0.061465967
DayOfWeek,0.00054593425,0.054593418
BusinessSegmentDetail,0.0,0.0
is_weekday,0.0,0.0
