feature,importance,importance_pct
segment_std_fee,0.26463652,26.463652
BusinessSegment_frequency,0.09831801,9.831801
IECount,0.067736134,6.7736135
market_competitiveness,0.053688228,5.368823
building_size_numeric,0.046270993,4.627099
LeaseCount,0.022918347,2.2918348
OfficeLocation_frequency,0.022664642,2.2664642
TargetTime_Original,0.020226778,2.022678
office_std_fee,0.017480541,1.7480541
OfficeId,0.0159426,1.59426
propertytype_std_fee,0.01478318,1.478318
targettime_ratio_to_proptype,0.014426804,1.4426804
SaleCount,0.014253213,1.4253213
PropertyState_frequency,0.013878184,1.3878185
TargetTime,0.013797362,1.3797362
OfficeLocation_encoded,0.013643125,1.3643125
state_std_fee,0.010610521,1.0610521
office_avg_fee,0.010382617,1.0382617
PropertyState_encoded,0.009927593,0.99275935
segment_avg_fee,0.00990181,0.990181
total_bids_to_client,0.009539767,0.9539767
targettime_x_size,0.009063541,0.90635407
state_avg_fee,0.0067891343,0.6789134
RooftopLongitude,0.0067408965,0.67408967
client_relationship_strength,0.006564706,0.6564706
RooftopLatitude,0.0065319343,0.6531934
DistanceInKM,0.0057859435,0.5785943
BidCompanyType_frequency,0.0057836077,0.5783608
BidCompanyType_encoded,0.005771323,0.5771323
rolling_bid_count_office,0.005746849,0.57468486
DistanceInMiles,0.005590967,0.5590967
Bid_Property_Type_encoded,0.0055735772,0.5573577
client_std_fee,0.0055049444,0.55049443
BusinessSegment_encoded,0.0054578045,0.5457805
MarketOrientation_frequency,0.005417174,0.5417174
distance_x_volume,0.005109553,0.51095533
BidCompanyName_encoded,0.005018401,0.5018401
days_since_last_bid_client,0.0049288627,0.49288628
propertytype_avg_fee,0.004890892,0.48908922
Bid_Property_Type_frequency,0.00486338,0.486338
client_avg_fee,0.004646442,0.4646442
rolling_avg_fee_proptype,0.004428169,0.4428169
quarterly_avg_fee,0.0043760994,0.43760994
avg_historical_fee_client,0.0043722093,0.43722093
rolling_std_fee_office,0.004359581,0.43595812
NumberofBusinesses,0.0043124645,0.43124646
AverageHouseValue,0.004199511,0.41995108
rolling_avg_fee_office,0.004114181,0.41141808
days_since_start,0.0040774886,0.40774885
same_proptype_as_last_client,0.0040570176,0.40570176
Bid_SubProperty_Type_encoded,0.004039567,0.4039567
NumberofEmployees,0.0040200194,0.40200195
rolling_avg_fee_state,0.0040116236,0.40116236
Month_sin,0.003989112,0.3989112
ZipPopulation,0.003986903,0.3986903
DeliveryTotal,0.0038958932,0.3895893
Month,0.0038424586,0.38424587
IncomePerHousehold,0.0037808893,0.37808892
rolling_avg_fee_segment,0.003757347,0.3757347
WeekOfYear,0.0037462614,0.37462613
Quarter,0.0037436394,0.37436396
Month_cos,0.0037298661,0.3729866
PropertyCity_encoded,0.0036627122,0.36627123
MedianAge,0.003627881,0.36278808
PopulationEstimate,0.0035322013,0.35322013
prev_fee_same_client,0.0034993065,0.34993064
DayOfWeek_sin,0.0034704572,0.34704572
is_peak_season,0.0033948366,0.33948365
DayOfMonth,0.0033869299,0.338693
DayOfWeek_cos,0.003347598,0.3347598
Year,0.0032937126,0.32937127
DayOfWeek,0.0031371962,0.31371963
BusinessSegmentDetail,0.0,0.0
is_weekday,0.0,0.0
